id	name	count	talkid
7	'Funny'	1512	vpjVgF5JDq8
10	'Inspiring'	1454	vpjVgF5JDq8
8	'Informative'	453	vpjVgF5JDq8
11	'Longwinded'	150	vpjVgF5JDq8
22	'Fascinating'	907	vpjVgF5JDq8
9	'Ingenious'	406	vpjVgF5JDq8
2	'Confusing'	84	vpjVgF5JDq8
1	'Beautiful'	177	vpjVgF5JDq8
3	'Courageous'	92	vpjVgF5JDq8
24	'Persuasive'	140	vpjVgF5JDq8
23	'Jaw-dropping'	185	vpjVgF5JDq8
25	'OK'	252	vpjVgF5JDq8
26	'Obnoxious'	80	vpjVgF5JDq8
21	'Unconvincing'	84	vpjVgF5JDq8
23	'Jaw-dropping'	8328	YVvn8dpSAt0
22	'Fascinating'	8448	YVvn8dpSAt0
1	'Beautiful'	5201	YVvn8dpSAt0
8	'Informative'	3875	YVvn8dpSAt0
7	'Funny'	815	YVvn8dpSAt0
10	'Inspiring'	1647	YVvn8dpSAt0
24	'Persuasive'	236	YVvn8dpSAt0
9	'Ingenious'	543	YVvn8dpSAt0
2	'Confusing'	95	YVvn8dpSAt0
25	'OK'	322	YVvn8dpSAt0
3	'Courageous'	216	YVvn8dpSAt0
21	'Unconvincing'	80	YVvn8dpSAt0
26	'Obnoxious'	126	YVvn8dpSAt0
11	'Longwinded'	79	YVvn8dpSAt0
24	'Persuasive'	41	-bdf1NnDZ8M
8	'Informative'	138	-bdf1NnDZ8M
25	'OK'	83	-bdf1NnDZ8M
2	'Confusing'	27	-bdf1NnDZ8M
11	'Longwinded'	68	-bdf1NnDZ8M
10	'Inspiring'	111	-bdf1NnDZ8M
3	'Courageous'	12	-bdf1NnDZ8M
21	'Unconvincing'	43	-bdf1NnDZ8M
26	'Obnoxious'	20	-bdf1NnDZ8M
1	'Beautiful'	59	-bdf1NnDZ8M
22	'Fascinating'	82	-bdf1NnDZ8M
9	'Ingenious'	29	-bdf1NnDZ8M
7	'Funny'	9	-bdf1NnDZ8M
23	'Jaw-dropping'	7	-bdf1NnDZ8M
25	'OK'	139	NA
8	'Informative'	90	NA
22	'Fascinating'	68	NA
10	'Inspiring'	127	NA
7	'Funny'	100	NA
24	'Persuasive'	8	NA
3	'Courageous'	14	NA
11	'Longwinded'	161	NA
2	'Confusing'	30	NA
9	'Ingenious'	23	NA
21	'Unconvincing'	45	NA
26	'Obnoxious'	36	NA
1	'Beautiful'	49	NA
23	'Jaw-dropping'	12	NA
3	'Courageous'	29	WtvsqRmvWUo
10	'Inspiring'	134	WtvsqRmvWUo
1	'Beautiful'	240	WtvsqRmvWUo
23	'Jaw-dropping'	71	WtvsqRmvWUo
22	'Fascinating'	62	WtvsqRmvWUo
8	'Informative'	3	WtvsqRmvWUo
25	'OK'	30	WtvsqRmvWUo
9	'Ingenious'	26	WtvsqRmvWUo
21	'Unconvincing'	3	WtvsqRmvWUo
7	'Funny'	6	WtvsqRmvWUo
2	'Confusing'	0	WtvsqRmvWUo
11	'Longwinded'	0	WtvsqRmvWUo
24	'Persuasive'	0	WtvsqRmvWUo
26	'Obnoxious'	0	WtvsqRmvWUo
23	'Jaw-dropping'	153	UUfUAJD3qrU
1	'Beautiful'	280	UUfUAJD3qrU
10	'Inspiring'	670	UUfUAJD3qrU
21	'Unconvincing'	11	UUfUAJD3qrU
11	'Longwinded'	46	UUfUAJD3qrU
24	'Persuasive'	108	UUfUAJD3qrU
3	'Courageous'	158	UUfUAJD3qrU
25	'OK'	18	UUfUAJD3qrU
22	'Fascinating'	122	UUfUAJD3qrU
9	'Ingenious'	63	UUfUAJD3qrU
7	'Funny'	22	UUfUAJD3qrU
26	'Obnoxious'	19	UUfUAJD3qrU
8	'Informative'	42	UUfUAJD3qrU
2	'Confusing'	10	UUfUAJD3qrU
22	'Fascinating'	633	39rIebbXshA
10	'Inspiring'	1716	39rIebbXshA
1	'Beautiful'	696	39rIebbXshA
3	'Courageous'	236	39rIebbXshA
24	'Persuasive'	212	39rIebbXshA
23	'Jaw-dropping'	221	39rIebbXshA
11	'Longwinded'	92	39rIebbXshA
8	'Informative'	160	39rIebbXshA
9	'Ingenious'	97	39rIebbXshA
25	'OK'	74	39rIebbXshA
7	'Funny'	167	39rIebbXshA
